,smiles,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,score,tpsa
0,CC1(C)CN(C(=O)C[NH+]2CCCC2c2ccccc2)CC(C(=O)Nc2ccccc2)O1,25,0,3,3,0,26,8,0,0,0,1,3,2.051100000000001,119.71740000000004,0.7753811526944692,4.250639663937226,-7.0,63.08000000000001
1,CC(O)c1ccc(N(C(=O)c2ccc(F)cc2)C(C)O)cc1,17,1,1,3,0,16,7,0,0,0,0,2,2.8641000000000014,81.96610000000003,0.8538551799589481,2.871512017567829,-6.3,60.769999999999996
2,CC(C)C(=O)Nc1cncnc1N1C(=O)CCC1c1ccccc1,18,0,4,2,0,18,8,0,0,0,1,2,2.9392000000000014,91.40270000000004,0.9380123865306677,2.9155299925564346,-6.5,75.19
3,CC1=C(C(=O)N2CCCC2)N(C(C)[NH+](C)C(C)C)C(c2ccccn2)C=C1,22,0,4,1,0,23,6,0,0,0,1,2,2.160000000000001,107.95570000000009,0.8647443124563304,4.479364719061355,-6.1,40.88000000000001
4,CC([NH2+]Cc1cccc(-n2cccn2)c1)c1ccccc1,18,0,3,0,0,15,8,0,0,0,1,2,2.6969000000000003,84.05040000000004,0.7648068530377239,3.3065303141803124,-6.9,34.43
5,CC(=O)CN1CC[NH+](Cc2cccc(C#N)c2)C(CN2CCOCC2)C1=O,20,0,4,3,0,23,5,1,0,0,0,3,-0.9248199999999953,98.99870000000006,0.699534415422644,4.238155391449862,0.0,78.08000000000001
6,CN(C(=O)NCc1ccccc1F)C1CC1,12,1,2,1,0,13,4,0,1,0,0,1,2.1295,59.42070000000003,0.8344354945105469,1.9234330907329493,-5.1,32.34
7,N#CCOC(=O)c1ccccc1CN1CCC(N)CC1,15,0,3,2,0,16,4,1,0,0,0,2,1.29008,74.82390000000004,0.8361685119331496,2.227893123326661,0.0,79.35
8,CCn1ncc(C)c1CCNC(=O)c1ccccc1Br,15,0,3,1,1,15,6,0,0,0,1,1,2.9464200000000007,82.81720000000003,0.9125593115293048,2.303754256929899,-5.7,46.92
9,N#Cc1ccc(C(NC(=O)C2CCCN(S(=O)(=O)c3cccs3)C2)c2ccn[nH]2)cc1,21,0,5,3,2,23,10,1,0,0,2,2,2.6493800000000007,115.53220000000002,0.5922406997300134,3.39738291713818,0.0,118.95000000000002
10,Cc1cc(C)cc(NC(=O)CN2C(=O)CNCC2c2ccsc2)c1,18,0,3,2,1,19,7,0,0,0,1,2,2.47654,96.18840000000003,0.8964756895443372,3.0198505807917293,-6.3,61.440000000000005
11,CN(CC(F)F)C(=O)Cc1ccc(O)c(Cl)c1,11,2,1,2,1,13,4,0,0,0,0,1,2.3116000000000003,60.46180000000003,0.905613640784007,2.3884419664559413,-6.0,40.540000000000006
12,Cc1n[nH]c(Cc2ccccc2NC(=O)N(C)CC2CCCCC2)c1C,21,0,4,1,0,22,6,0,0,0,1,2,4.6613400000000045,105.53340000000006,0.8200595121049876,2.551231776365947,-6.3,61.02
13,O=C(c1cc(F)cc(F)c1)N(Cc1ccoc1)C1CCCS1(=O)=O,16,2,1,4,1,18,8,0,0,0,2,1,2.7349000000000006,81.74830000000003,0.8457316226452859,3.526343222785382,-7.0,67.59
14,COc1ccc(CN(C)C(=O)c2ccc(N3SCCC3=O)c(C)c2)cn1,19,0,3,3,1,20,8,0,0,0,1,2,3.0557200000000018,102.32650000000004,0.7561470321834125,2.7812181090632393,-6.2,62.74
15,CC(C)NC(=O)c1ccc(N(C(C)c2ccsc2)S(C)(=O)=O)cc1,17,0,2,3,2,17,8,0,0,0,1,1,3.4135000000000026,99.10100000000004,0.8517981242451965,2.830333981418253,-5.8,66.48
16,O=C(Cc1ccc(Cl)cc1)NC1CCc2ccccc21,17,0,1,1,1,15,7,0,0,0,1,2,3.686200000000002,80.80270000000004,0.9155333136482411,2.1912790785123892,-6.8,29.1
17,CCc1cccc(C(C)[NH2+]C2CCCCC2C)c1,17,0,1,0,0,16,3,0,0,0,0,2,3.4521000000000024,77.58040000000005,0.8377528594112772,4.030046907197148,-6.2,16.61
18,CC(=O)c1ccc(Cl)cc1NC(=O)c1ccncc1N1CCCC1,18,0,3,2,1,18,8,0,0,0,1,2,3.7901000000000025,95.09370000000004,0.8578113324598181,2.1512337089673927,-6.7,62.300000000000004
19,CN(Cc1ccc(F)cc1)C(=O)CSc1nncc2ccccc12,18,1,3,1,1,17,9,0,0,0,0,3,3.5196000000000023,93.13600000000004,0.666297366619501,2.187082971214098,-6.1,46.09
