,smiles,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,score,tpsa,rank
0,CN1C(=O)C(=NNC(=O)c2cccc(C(=O)NN=C3C(=O)N(C)c4ccccc43)c2)c2ccccc21,26,0,6,4,0,25,15,0,0,0,2,3,1.9076,134.1523999999999,0.557189132226,2.559967969191808,-10.2,123.54,0
107,Cc1cc(=O)oc2cc(OC3OC(COC4OC(CO)C(O)C(O)C4O)C(O)C(O)C3O)ccc12,22,0,0,13,0,33,5,0,0,0,0,4,-2.8956799999999987,114.24960000000004,0.1989052928685223,4.390658261469947,-9.5,208.74,0
108,O=C(O)C(O)C(O)C(O)C(O)CO,6,0,0,7,0,11,1,0,0,0,0,0,-3.4931000000000005,38.7488,0.2680535124390778,3.593315525243314,-6.0,138.45000000000002,0
109,O=C(O)CCC(=O)O,4,0,0,4,0,5,2,0,0,0,0,0,-0.0642,24.5056,0.5437714031598524,1.6080314072379966,-5.1,74.6,0
110,NC(N)=O,1,0,2,1,0,2,1,0,0,0,0,0,-0.9762000000000002,13.7708,0.3705073514035382,1.9319076618525963,-3.5,69.11,0
111,NC(=O)NC(CCC(=O)O)C(=O)O,6,0,2,5,0,9,3,0,0,0,0,0,-1.0273000000000003,41.0127,0.440139170210041,2.363354009739373,-6.4,129.72,0
112,CS(=O)(=O)OCC(O)C(O)C(O)C(O)COS(C)(=O)=O,8,0,0,10,2,15,4,0,0,0,0,0,-3.617599999999997,65.61880000000004,0.3079588675444351,4.011882262933617,-5.6,167.66,0
113,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2,32,0,4,2,0,27,16,0,0,0,1,4,6.507320000000005,150.4143999999997,0.296607059728768,2.390249480400337,-10.2,78.09,0
114,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,12,0,0,11,0,23,0,0,0,0,0,1,-5.761199999999992,70.83220000000004,0.2029803994672465,4.381355926819987,-6.1,200.53,0
115,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,23,0,5,14,0,45,0,0,0,0,1,3,-8.861700000000015,136.38740000000004,0.1143750845502517,5.510244540148538,-7.6,347.32,0
116,CC(=O)O,2,0,0,2,0,2,1,0,0,0,0,0,0.0908999999999999,13.3098,0.4298828832001217,1.5149307387756714,-3.5,37.3,0
117,O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O,11,0,2,9,0,17,4,0,0,0,0,0,-2.710299999999995,69.43000000000004,0.2522799262325309,2.4788067819365107,-5.1,175.90999999999997,0
118,O=C(O)CNC(=O)CNC(=O)CNC(=O)CSC(=O)c1ccccc1,15,0,3,6,1,17,8,0,0,0,0,1,-1.006799999999998,89.89540000000001,0.438158387611395,2.208704078986008,-6.4,141.67,0
119,CC(=O)Nc1nnc(S(N)(=O)=O)s1,4,0,4,3,2,8,5,0,0,0,1,0,-0.8561000000000003,45.58590000000001,0.6318586926732331,2.460960564488465,-6.5,115.04,0
120,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,15,0,2,4,1,16,7,0,0,0,0,2,2.2098000000000004,82.17270000000005,0.8305743326907693,1.947418691360781,-8.8,92.34,0
